pokedex_number	name	abilities	attack	defense	speed	hp	sp_attack	sp_defense	base_total	base_egg_steps	base_happiness	weight_kg	height_m	capture_rate	classIfication	type1	type2	experience_growth	percentage_male	generation	is_legendary
163	Hoothoot	['Insomnia', 'Keen Eye', 'Tinted Lens']	30	30	50	60	36	56	262	3840	70	21.2	0.7	255	Owl 	normal	flying	1000000	50.0	2	N
164	Noctowl	['Insomnia', 'Keen Eye', 'Tinted Lens']	50	50	70	100	86	96	452	3840	70	40.8	1.6	90	Owl 	normal	flying	1000000	50.0	2	N
165	Ledyba	['Swarm', 'Early Bird', 'Rattled']	20	30	55	40	40	80	265	3840	70	10.8	1.0	255	Five Star 	bug	flying	800000	50.0	2	N
166	Ledian	['Swarm', 'Early Bird', 'Iron Fist']	35	50	85	55	55	110	390	3840	70	35.6	1.4	90	Five Star 	bug	flying	800000	50.0	2	N
167	Spinarak	['Swarm', 'Insomnia', 'Sniper']	60	40	30	40	40	40	250	3840	70	8.5	0.5	255	String Spit 	bug	poison	800000	50.0	2	N
168	Ariados	['Swarm', 'Insomnia', 'Sniper']	90	70	40	70	60	70	400	3840	70	33.5	1.1	90	Long Leg 	bug	poison	800000	50.0	2	N
169	Crobat	['Inner Focus', 'Infiltrator']	90	80	130	85	70	80	535	3840	70	75.0	1.8	90	Bat 	poison	flying	1000000	50.0	2	N
170	Chinchou	['Volt Absorb', 'Illuminate', 'Water Absorb']	38	38	67	75	56	56	330	5120	70	12.0	0.5	190	Angler 	water	electric	1250000	50.0	2	N
171	Lanturn	['Volt Absorb', 'Illuminate', 'Water Absorb']	58	58	67	125	76	76	460	5120	70	22.5	1.2	75	Light 	water	electric	1250000	50.0	2	N
172	Pichu	['Static', 'Lightningrod']	40	15	60	20	35	35	205	2560	70	2.0	0.3	190	Tiny Mouse 	electric	NULL	1000000	50.0	2	N
173	Cleffa	['Cute Charm', 'Magic Guard', 'Friend Guard']	25	28	15	50	45	55	218	2560	140	3.0	0.3	150	Star Shape 	fairy	NULL	800000	24.6	2	N
174	Igglybuff	['Cute Charm', 'Competitive', 'Friend Guard']	30	15	15	90	40	20	210	2560	70	1.0	0.3	170	Balloon 	normal	fairy	800000	24.6	2	N
175	Togepi	['Hustle', 'Serene Grace', 'Super Luck']	20	65	20	35	40	65	245	2560	70	1.5	0.3	190	Spike Ball 	fairy	NULL	800000	88.1	2	N
176	Togetic	['Hustle', 'Serene Grace', 'Super Luck']	40	85	40	55	80	105	405	2560	70	3.2	0.6	75	Happiness 	fairy	flying	800000	88.1	2	N
177	Natu	['Synchronize', 'Early Bird', 'Magic Bounce']	50	45	70	40	70	45	320	5120	70	2.0	0.2	190	Little Bird 	psychic	flying	1000000	50.0	2	N
178	Xatu	['Synchronize', 'Early Bird', 'Magic Bounce']	75	70	95	65	95	70	470	5120	70	15.0	1.5	75	Mystic 	psychic	flying	1000000	50.0	2	N
179	Mareep	['Static', 'Plus']	40	40	35	55	65	45	280	5120	70	7.8	0.6	235	Wool 	electric	NULL	1059860	50.0	2	N
180	Flaaffy	['Static', 'Plus']	55	55	45	70	80	60	365	5120	70	13.3	0.8	120	Wool 	electric	NULL	1059860	50.0	2	N
181	Ampharos	['Static', 'Plus']	95	105	45	90	165	110	610	5120	70	61.5	1.4	45	Light 	electric	NULL	1059860	50.0	2	N
182	Bellossom	['Chlorophyll', 'Healer']	80	95	50	75	90	100	490	5120	70	5.8	0.4	45	Flower 	grass	NULL	1059860	50.0	2	N
183	Marill	['Thick Fat', 'Huge Power', 'Sap Sipper']	20	50	40	70	20	50	250	2560	70	8.5	0.4	190	Aquamouse 	water	fairy	800000	50.0	2	N
184	Azumarill	['Thick Fat', 'Huge Power', 'Sap Sipper']	50	80	50	100	60	80	420	2560	70	28.5	0.8	75	Aquarabbit 	water	fairy	800000	50.0	2	N
185	Sudowoodo	['Sturdy', 'Rock Head', 'Rattled']	100	115	30	70	30	65	410	5120	70	38.0	1.2	65	Imitation 	rock	NULL	1000000	50.0	2	N
186	Politoed	['Water Absorb', 'Damp', 'Drizzle']	75	75	70	90	90	100	500	5120	70	33.9	1.1	45	Frog 	water	NULL	1059860	50.0	2	N
187	Hoppip	['Chlorophyll', 'Leaf Guard', 'Infiltrator']	35	40	50	35	35	55	250	5120	70	0.5	0.4	255	Cottonweed 	grass	flying	1059860	50.0	2	N
188	Skiploom	['Chlorophyll', 'Leaf Guard', 'Infiltrator']	45	50	80	55	45	65	340	5120	70	1.0	0.6	120	Cottonweed 	grass	flying	1059860	50.0	2	N
189	Jumpluff	['Chlorophyll', 'Leaf Guard', 'Infiltrator']	55	70	110	75	55	95	460	5120	70	3.0	0.8	45	Cottonweed 	grass	flying	1059860	50.0	2	N
190	Aipom	['Run Away', 'Pickup', 'Skill Link']	70	55	85	55	40	55	360	5120	70	11.5	0.8	45	Long Tail 	normal	NULL	800000	50.0	2	N
191	Sunkern	['Chlorophyll', 'Solar Power', 'Early Bird']	30	30	30	30	30	30	180	5120	70	1.8	0.3	235	Seed 	grass	NULL	1059860	50.0	2	N
192	Sunflora	['Chlorophyll', 'Solar Power', 'Early Bird']	75	55	30	75	105	85	425	5120	70	8.5	0.8	120	Sun 	grass	NULL	1059860	50.0	2	N
193	Yanma	['Speed Boost', 'Compoundeyes', 'Frisk']	65	45	95	65	75	45	390	5120	70	38.0	1.2	75	Clear Wing 	bug	flying	1000000	50.0	2	N
194	Wooper	['Damp', 'Water Absorb', 'Unaware']	45	45	15	55	25	25	210	5120	70	8.5	0.4	255	Water Fish 	water	ground	1000000	50.0	2	N
195	Quagsire	['Damp', 'Water Absorb', 'Unaware']	85	85	35	95	65	65	430	5120	70	75.0	1.4	90	Water Fish 	water	ground	1000000	50.0	2	N
196	Espeon	['Synchronize', 'Magic Bounce']	65	60	110	65	130	95	525	8960	70	26.5	0.9	45	Sun 	psychic	NULL	1000000	88.1	2	N
197	Umbreon	['Synchronize', 'Inner Focus']	65	110	65	95	60	130	525	8960	35	27.0	1.0	45	Moonlight 	dark	NULL	1000000	88.1	2	N
198	Murkrow	['Insomnia', 'Super Luck', 'Prankster']	85	42	91	60	85	42	405	5120	35	2.1	0.5	30	Darkness 	dark	flying	1059860	50.0	2	N
199	Slowking	['Oblivious', 'Own Tempo', 'Regenerator']	75	80	30	95	100	110	490	5120	70	79.5	2.0	70	Royal 	water	psychic	1000000	50.0	2	N
200	Misdreavus	['Levitate']	60	60	85	60	85	85	435	6400	35	1.0	0.7	45	Screech 	ghost	NULL	800000	50.0	2	N
201	Unown	['Levitate']	72	48	48	48	72	48	336	10240	70	5.0	0.5	225	Symbol 	psychic	NULL	1000000	NULL	2	N
202	Wobbuffet	['Shadow Tag', 'Telepathy']	33	58	33	190	33	58	405	5120	70	28.5	1.3	45	Patient 	psychic	NULL	1000000	50.0	2	N
203	Girafarig	['Inner Focus', 'Early Bird', 'Sap Sipper']	80	65	85	70	90	65	455	5120	70	41.5	1.5	60	Long Neck 	normal	psychic	1000000	50.0	2	N
204	Pineco	['Sturdy', 'Overcoat']	65	90	15	50	35	35	290	5120	70	7.2	0.6	190	Bagworm 	bug	NULL	1000000	50.0	2	N
205	Forretress	['Sturdy', 'Overcoat']	90	140	40	75	60	60	465	5120	70	125.8	1.2	75	Bagworm 	bug	steel	1000000	50.0	2	N
206	Dunsparce	['Serene Grace', 'Run Away', 'Rattled']	70	70	45	100	65	65	415	5120	70	14.0	1.5	190	Land Snake 	normal	NULL	1000000	50.0	2	N
207	Gligar	['Hyper Cutter', 'Sand Veil', 'Immunity']	75	105	85	65	35	65	430	5120	70	64.8	1.1	60	Flyscorpion 	ground	flying	1059860	50.0	2	N
208	Steelix	['Rock Head', 'Sturdy', 'Sheer Force']	125	230	30	75	55	95	610	6400	70	400.0	9.2	25	Iron Snake 	steel	ground	1000000	50.0	2	N
209	Snubbull	['Intimidate', 'Run Away', 'Rattled']	80	50	30	60	40	40	300	5120	70	7.8	0.6	190	Fairy 	fairy	NULL	800000	24.6	2	N
210	Granbull	['Intimidate', 'Quick Feet', 'Rattled']	120	75	45	90	60	60	450	5120	70	48.7	1.4	75	Fairy 	fairy	NULL	800000	24.6	2	N
211	Qwilfish	['Poison Point', 'Swift Swim', 'Intimidate']	95	85	85	65	55	55	440	5120	70	3.9	0.5	45	Balloon 	water	poison	1000000	50.0	2	N
212	Scizor	['Swarm', 'Technician', 'Light Metal']	150	140	75	70	65	100	600	6400	70	118.0	1.8	25	Pincer 	bug	steel	1000000	50.0	2	N
213	Shuckle	['Sturdy', 'Gluttony', 'Contrary']	10	230	5	20	10	230	505	5120	70	20.5	0.6	190	Mold 	bug	rock	1059860	50.0	2	N
214	Heracross	['Swarm', 'Guts', 'Moxie']	185	115	75	80	40	105	600	6400	70	54.0	1.5	45	Singlehorn 	bug	fighting	1250000	50.0	2	N
215	Sneasel	['Inner Focus', 'Keen Eye', 'Pickpocket']	95	55	115	55	35	75	430	5120	35	28.0	0.9	60	Sharp Claw 	dark	ice	1059860	50.0	2	N
216	Teddiursa	['Pickup', 'Quick Feet', 'Honey Gather']	80	50	40	60	50	50	330	5120	70	8.8	0.6	120	Little Bear 	normal	NULL	1000000	50.0	2	N
217	Ursaring	['Guts', 'Quick Feet', 'Unnerve']	130	75	55	90	75	75	500	5120	70	125.8	1.8	60	Hibernator 	normal	NULL	1000000	50.0	2	N
218	Slugma	['Magma Armor', 'Flame Body', 'Weak Armor']	40	40	20	40	70	40	250	5120	70	35.0	0.7	190	Lava 	fire	NULL	1000000	50.0	2	N
219	Magcargo	['Magma Armor', 'Flame Body', 'Weak Armor']	50	120	30	60	90	80	430	5120	70	55.0	0.8	75	Lava 	fire	rock	1000000	50.0	2	N
220	Swinub	['Oblivious', 'Snow Cloak', 'Thick Fat']	50	40	50	50	30	30	250	5120	70	6.5	0.4	225	Pig 	ice	ground	1250000	50.0	2	N
221	Piloswine	['Oblivious', 'Snow Cloak', 'Thick Fat']	100	80	50	100	60	60	450	5120	70	55.8	1.1	75	Swine 	ice	ground	1250000	50.0	2	N
222	Corsola	['Hustle', 'Natural Cure', 'Regenerator']	55	95	35	65	65	95	410	5120	70	5.0	0.6	60	Coral 	water	rock	800000	24.6	2	N
223	Remoraid	['Hustle', 'Sniper', 'Moody']	65	35	65	35	65	35	300	5120	70	12.0	0.6	190	Jet 	water	NULL	1000000	50.0	2	N
224	Octillery	['Suction Cups', 'Sniper', 'Moody']	105	75	45	75	105	75	480	5120	70	28.5	0.9	75	Jet 	water	NULL	1000000	50.0	2	N
225	Delibird	['Vital Spirit', 'Hustle', 'Insomnia']	55	45	75	45	65	45	330	5120	70	16.0	0.9	45	Delivery 	ice	flying	800000	50.0	2	N
226	Mantine	['Swift Swim', 'Water Absorb', 'Water Veil']	40	70	70	85	80	140	485	6400	70	220.0	2.1	25	Kite 	water	flying	1250000	50.0	2	N
227	Skarmory	['Keen Eye', 'Sturdy', 'Weak Armor']	80	140	70	65	40	70	465	6400	70	50.5	1.7	25	Armor Bird 	steel	flying	1250000	50.0	2	N
228	Houndour	['Early Bird', 'Flash Fire', 'Unnerve']	60	30	65	45	80	50	330	5120	35	10.8	0.6	120	Dark 	dark	fire	1250000	50.0	2	N
229	Houndoom	['Early Bird', 'Flash Fire', 'Unnerve']	90	90	115	75	140	90	600	5120	35	35.0	1.4	45	Dark 	dark	fire	1250000	50.0	2	N
230	Kingdra	['Swift Swim', 'Sniper', 'Damp']	95	95	85	75	95	95	540	5120	70	152.0	1.8	45	Dragon 	water	dragon	1000000	50.0	2	N
231	Phanpy	['Pickup', 'Sand Veil']	60	60	40	90	40	40	330	5120	70	33.5	0.5	120	Long Nose 	ground	NULL	1000000	50.0	2	N
232	Donphan	['Sturdy', 'Sand Veil']	120	120	50	90	60	60	500	5120	70	120.0	1.1	60	Armor 	ground	NULL	1000000	50.0	2	N
233	Porygon2	['Trace', 'Download', 'Analytic']	80	90	60	85	105	95	515	5120	70	32.5	0.6	45	Virtual 	normal	NULL	1000000	NULL	2	N
234	Stantler	['Intimidate', 'Frisk', 'Sap Sipper']	95	62	85	73	85	65	465	5120	70	71.2	1.4	45	Big Horn 	normal	NULL	1250000	50.0	2	N
235	Smeargle	['Own Tempo', 'Technician', 'Moody']	20	35	75	55	20	45	250	5120	70	58.0	1.2	45	Painter 	normal	NULL	800000	50.0	2	N
236	Tyrogue	['Guts', 'Steadfast', 'Vital Spirit']	35	35	35	35	35	35	210	6400	70	21.0	0.7	75	Scuffle 	fighting	NULL	1000000	100.0	2	N
237	Hitmontop	['Intimidate', 'Technician', 'Steadfast']	95	95	70	50	35	110	455	6400	70	48.0	1.4	45	Handstand 	fighting	NULL	1000000	100.0	2	N
238	Smoochum	['Oblivious', 'Forewarn', 'Hydration']	30	15	65	45	85	65	305	6400	70	6.0	0.4	45	Kiss 	ice	psychic	1000000	0.0	2	N
239	Elekid	['Static', 'Vital Spirit']	63	37	95	45	65	55	360	6400	70	23.5	0.6	45	Electric 	electric	NULL	1000000	75.4	2	N
240	Magby	['Flame Body', 'Vital Spirit']	75	37	83	45	70	55	365	6400	70	21.4	0.7	45	Live Coal 	fire	NULL	1000000	75.4	2	N
241	Miltank	['Thick Fat', 'Scrappy', 'Sap Sipper']	80	105	100	95	40	70	490	5120	70	75.5	1.2	45	Milk Cow 	normal	NULL	1250000	0.0	2	N
242	Blissey	['Natural Cure', 'Serene Grace', 'Healer']	10	10	55	255	75	135	540	10240	140	46.8	1.5	30	Happiness 	normal	NULL	800000	0.0	2	N
243	Raikou	['Pressure', 'Inner Focus']	85	75	115	90	115	100	580	20480	35	178.0	1.9	3	Thunder 	electric	NULL	1250000	NULL	2	Y
244	Entei	['Pressure', 'Inner Focus']	115	85	100	115	90	75	580	20480	35	198.0	2.1	3	Volcano 	fire	NULL	1250000	NULL	2	Y
245	Suicune	['Pressure', 'Inner Focus']	75	115	85	100	90	115	580	20480	35	187.0	2.0	3	Aurora 	water	NULL	1250000	NULL	2	Y
246	Larvitar	['Guts', 'Sand Veil']	64	50	41	50	45	50	300	10240	35	72.0	0.6	45	Rock Skin 	rock	ground	1250000	50.0	2	N
247	Pupitar	['Shed Skin']	84	70	51	70	65	70	410	10240	35	152.0	1.2	45	Hard Shell 	rock	ground	1250000	50.0	2	N
248	Tyranitar	['Sand Stream', 'Unnerve']	164	150	71	100	95	120	700	10240	35	202.0	2.0	45	Armor 	rock	dark	1250000	50.0	2	N
249	Lugia	['Pressure', 'Multiscale']	90	130	110	106	90	154	680	30720	0	216.0	5.2	3	Diving 	psychic	flying	1250000	NULL	2	Y
250	Ho-Oh	['Pressure', 'Regenerator']	130	90	90	106	110	154	680	30720	0	199.0	3.8	3	Rainbow 	fire	flying	1250000	NULL	2	Y
251	Celebi	['Natural Cure']	100	100	100	100	100	100	600	30720	100	5.0	0.6	45	Time Travel 	psychic	grass	1059860	NULL	2	Y
252	Treecko	['Overgrow', 'Unburden']	45	35	70	40	65	55	310	5120	70	5.0	0.5	45	Wood Gecko 	grass	NULL	1059860	88.1	3	N
253	Grovyle	['Overgrow', 'Unburden']	65	45	95	50	85	65	405	5120	70	21.6	0.9	45	Wood Gecko 	grass	NULL	1059860	88.1	3	N
254	Sceptile	['Overgrow', 'Unburden']	110	75	145	70	145	85	630	5120	70	52.2	1.7	45	Forest 	grass	NULL	1059860	88.1	3	N
255	Torchic	['Blaze', 'Speed Boost']	60	40	45	45	70	50	310	5120	70	2.5	0.4	45	Chick 	fire	NULL	1059860	88.1	3	N
256	Combusken	['Blaze', 'Speed Boost']	85	60	55	60	85	60	405	5120	70	19.5	0.9	45	Young Fowl 	fire	fighting	1059860	88.1	3	N
257	Blaziken	['Blaze', 'Speed Boost']	160	80	100	80	130	80	630	5120	70	52.0	1.9	45	Blaze 	fire	fighting	1059860	88.1	3	N
258	Mudkip	['Torrent', 'Damp']	70	50	40	50	50	50	310	5120	70	7.6	0.4	45	Mud Fish 	water	NULL	1059860	88.1	3	N
259	Marshtomp	['Torrent', 'Damp']	85	70	50	70	60	70	405	5120	70	28.0	0.7	45	Mud Fish 	water	ground	1059860	88.1	3	N
260	Swampert	['Torrent', 'Damp']	150	110	70	100	95	110	635	5120	70	81.9	1.5	45	Mud Fish 	water	ground	1059860	88.1	3	N
261	Poochyena	['Run Away', 'Quick Feet', 'Rattled']	55	35	35	35	30	30	220	3840	70	13.6	0.5	255	Bite 	dark	NULL	1000000	50.0	3	N
262	Mightyena	['Intimidate', 'Quick Feet', 'Moxie']	90	70	70	70	60	60	420	3840	70	37.0	1.0	127	Bite 	dark	NULL	1000000	50.0	3	N
263	Zigzagoon	['Pickup', 'Gluttony', 'Quick Feet']	30	41	60	38	30	41	240	3840	70	17.5	0.4	255	Tiny Racoon 	normal	NULL	1000000	50.0	3	N
264	Linoone	['Pickup', 'Gluttony', 'Quick Feet']	70	61	100	78	50	61	420	3840	70	32.5	0.5	90	Rush 	normal	NULL	1000000	50.0	3	N
265	Wurmple	['Shield Dust', 'Run Away']	45	35	20	45	20	30	195	3840	70	3.6	0.3	255	Worm 	bug	NULL	1000000	50.0	3	N
266	Silcoon	['Shed Skin']	35	55	15	50	25	25	205	3840	70	10.0	0.6	120	Cocoon 	bug	NULL	1000000	50.0	3	N
267	Beautifly	['Swarm', 'Rivalry']	70	50	65	60	100	50	395	3840	70	28.4	1.0	45	Butterfly 	bug	flying	1000000	50.0	3	N
268	Cascoon	['Shed Skin']	35	55	15	50	25	25	205	3840	70	11.5	0.7	120	Cocoon 	bug	NULL	1000000	50.0	3	N
269	Dustox	['Shield Dust', 'Compoundeyes']	50	70	65	60	50	90	385	3840	70	31.6	1.2	45	Poison Moth 	bug	poison	1000000	50.0	3	N
270	Lotad	['Swift Swim', 'Rain Dish', 'Own Tempo']	30	30	30	40	40	50	220	3840	70	2.6	0.5	255	Water Weed 	water	grass	1059860	50.0	3	N
271	Lombre	['Swift Swim', 'Rain Dish', 'Own Tempo']	50	50	50	60	60	70	340	3840	70	32.5	1.2	120	Jolly 	water	grass	1059860	50.0	3	N
272	Ludicolo	['Swift Swim', 'Rain Dish', 'Own Tempo']	70	70	70	80	90	100	480	3840	70	55.0	1.5	45	Carefree 	water	grass	1059860	50.0	3	N
273	Seedot	['Chlorophyll', 'Early Bird', 'Pickpocket']	40	50	30	40	30	30	220	3840	70	4.0	0.5	255	Acorn 	grass	NULL	1059860	50.0	3	N
274	Nuzleaf	['Chlorophyll', 'Early Bird', 'Pickpocket']	70	40	60	70	60	40	340	3840	70	28.0	1.0	120	Wily 	grass	dark	1059860	50.0	3	N
275	Shiftry	['Chlorophyll', 'Early Bird', 'Pickpocket']	100	60	80	90	90	60	480	3840	70	59.6	1.3	45	Wickid 	grass	dark	1059860	50.0	3	N
276	Taillow	['Guts', 'Scrappy']	55	30	85	40	30	30	270	3840	70	2.3	0.3	200	TinySwallow 	normal	flying	1059860	50.0	3	N
277	Swellow	['Guts', 'Scrappy']	85	60	125	60	75	50	455	3840	70	19.8	0.7	45	Swallow 	normal	flying	1059860	50.0	3	N
278	Wingull	['Keen Eye', 'Hydration', 'Rain Dish']	30	30	85	40	55	30	270	5120	70	9.5	0.6	190	Seagull 	water	flying	1000000	50.0	3	N
279	Pelipper	['Keen Eye', 'Drizzle', 'Rain Dish']	50	100	65	60	95	70	440	5120	70	28.0	1.2	45	Water Bird 	water	flying	1000000	50.0	3	N
280	Ralts	['Synchronize', 'Trace', 'Telepathy']	25	25	40	28	45	35	198	5120	35	6.6	0.4	235	Feeling 	psychic	fairy	1250000	50.0	3	N
281	Kirlia	['Synchronize', 'Trace', 'Telepathy']	35	35	50	38	65	55	278	5120	35	20.2	0.8	120	Emotion 	psychic	fairy	1250000	50.0	3	N
282	Gardevoir	['Synchronize', 'Trace', 'Telepathy']	85	65	100	68	165	135	618	5120	35	48.4	1.6	45	Embrace 	psychic	fairy	1250000	50.0	3	N
283	Surskit	['Swift Swim', 'Rain Dish']	30	32	65	40	50	52	269	3840	70	1.7	0.5	200	Pond Skater 	bug	water	1000000	50.0	3	N
284	Masquerain	['Intimidate', 'Unnerve']	60	62	80	70	100	82	454	3840	70	3.6	0.8	75	Eyeball 	bug	flying	1000000	50.0	3	N
285	Shroomish	['Effect Spore', 'Poison Heal', 'Quick Feet']	40	60	35	60	40	60	295	3840	70	4.5	0.4	255	Mushroom 	grass	NULL	1640000	50.0	3	N
286	Breloom	['Effect Spore', 'Poison Heal', 'Technician']	130	80	70	60	60	60	460	3840	70	39.2	1.2	90	Mushroom 	grass	fighting	1640000	50.0	3	N
287	Slakoth	['Truant']	60	60	30	60	35	35	280	3840	70	24.0	0.8	255	Slacker 	normal	NULL	1250000	50.0	3	N
288	Vigoroth	['Vital Spirit']	80	80	90	80	55	55	440	3840	70	46.5	1.4	120	Wild Monkey 	normal	NULL	1250000	50.0	3	N
289	Slaking	['Truant']	160	100	100	150	95	65	670	3840	70	130.5	2.0	45	Lazy 	normal	NULL	1250000	50.0	3	N
290	Nincada	['Compoundeyes', 'Run Away']	45	90	40	31	30	30	266	3840	70	5.5	0.5	255	Trainee 	bug	ground	600000	50.0	3	N
291	Ninjask	['Speed Boost', 'Infiltrator']	90	45	160	61	50	50	456	3840	70	12.0	0.8	120	Ninja 	bug	flying	600000	50.0	3	N
292	Shedinja	['Wonder Guard']	90	45	40	1	30	30	236	3840	70	1.2	0.8	45	Shed 	bug	ghost	600000	NULL	3	N
293	Whismur	['Soundproof', 'Rattled']	51	23	28	64	51	23	240	5120	70	16.3	0.6	190	Whisper 	normal	NULL	1059860	50.0	3	N
294	Loudred	['Soundproof', 'Scrappy']	71	43	48	84	71	43	360	5120	70	40.5	1.0	120	Big Voice 	normal	NULL	1059860	50.0	3	N
295	Exploud	['Soundproof', 'Scrappy']	91	63	68	104	91	73	490	5120	70	84.0	1.5	45	Loud Noise 	normal	NULL	1059860	50.0	3	N
296	Makuhita	['Thick Fat', 'Guts', 'Sheer Force']	60	30	25	72	20	30	237	5120	70	86.4	1.0	180	Guts 	fighting	NULL	1640000	75.4	3	N
297	Hariyama	['Thick Fat', 'Guts', 'Sheer Force']	120	60	50	144	40	60	474	5120	70	253.8	2.3	200	Arm Thrust 	fighting	NULL	1640000	75.4	3	N
298	Azurill	['Thick Fat', 'Huge Power', 'Sap Sipper']	20	40	20	50	20	40	190	2560	70	2.0	0.2	150	Polka Dot 	normal	fairy	800000	24.6	3	N
299	Nosepass	['Sturdy', 'Magnet Pull', 'Sand Force']	45	135	30	30	45	90	375	5120	70	97.0	1.0	255	Compass 	rock	NULL	1000000	50.0	3	N
300	Skitty	['Cute Charm', 'Normalize', 'Wonder Skin ']	45	45	50	50	35	35	260	3840	70	11.0	0.6	255	Kitten 	normal	NULL	800000	24.6	3	N
301	Delcatty	['Cute Charm', 'Normalize', 'Wonder Skin ']	65	65	90	70	55	55	400	3840	70	32.6	1.1	60	Prim 	normal	NULL	800000	24.6	3	N
302	Sableye	['Keen Eye', 'Stall', 'Prankster']	85	125	20	50	85	115	480	6400	35	11.0	0.5	45	Darkness 	dark	ghost	1059860	50.0	3	N
303	Mawile	['Hyper Cutter', 'Intimidate', 'Sheer Force']	105	125	50	50	55	95	480	5120	70	11.5	0.6	45	Deceiver 	steel	fairy	800000	50.0	3	N
304	Aron	['Sturdy', 'Rock Head', 'Heavy Metal']	70	100	30	50	40	40	330	8960	35	60.0	0.4	180	Iron Armor 	steel	rock	1250000	50.0	3	N
305	Lairon	['Sturdy', 'Rock Head', 'Heavy Metal']	90	140	40	60	50	50	430	8960	35	120.0	0.9	90	Iron Armor 	steel	rock	1250000	50.0	3	N
306	Aggron	['Sturdy', 'Rock Head', 'Heavy Metal']	140	230	50	70	60	80	630	8960	35	360.0	2.1	45	Iron Armor 	steel	rock	1250000	50.0	3	N
307	Meditite	['Pure Power', 'Telepathy']	40	55	60	30	40	55	280	5120	70	11.2	0.6	180	Meditate 	fighting	psychic	1000000	50.0	3	N
308	Medicham	['Pure Power', 'Telepathy']	100	85	100	60	80	85	510	5120	70	31.5	1.3	90	Meditate 	fighting	psychic	1000000	50.0	3	N
309	Electrike	['Static', 'Lightningrod', 'Minus']	45	40	65	40	65	40	295	5120	70	15.2	0.6	120	Lightning 	electric	NULL	1250000	50.0	3	N
310	Manectric	['Static', 'Lightningrod', 'Minus']	75	80	135	70	135	80	575	5120	70	40.2	1.5	45	Discharge 	electric	NULL	1250000	50.0	3	N
311	Plusle	['Plus', 'Lightningrod']	50	40	95	60	85	75	405	5120	70	4.2	0.4	200	Cheering 	electric	NULL	1000000	50.0	3	N
312	Minun	['Minus', 'Volt Absorb']	40	50	95	60	75	85	405	5120	70	4.2	0.4	200	Cheering 	electric	NULL	1000000	50.0	3	N
313	Volbeat	['Illuminate', 'Swarm', 'Prankster']	73	75	85	65	47	85	430	3840	70	17.7	0.7	150	Firefly 	bug	NULL	600000	100.0	3	N
314	Illumise	['Oblivious', 'Tinted Lens', 'Prankster']	47	75	85	65	73	85	430	3840	70	17.7	0.6	150	Firefly 	bug	NULL	1640000	0.0	3	N
315	Roselia	['Natural Cure', 'Poison Point', 'Leaf Guard']	60	45	65	50	100	80	400	5120	70	2.0	0.3	150	Thorn 	grass	poison	1059860	50.0	3	N
316	Gulpin	['Liquid Ooze', 'Sticky Hold', 'Gluttony']	43	53	40	70	43	53	302	5120	70	10.3	0.4	225	Stomach 	poison	NULL	1640000	50.0	3	N
317	Swalot	['Liquid Ooze', 'Sticky Hold', 'Gluttony']	73	83	55	100	73	83	467	5120	70	80.0	1.7	75	Poison Bag 	poison	NULL	1640000	50.0	3	N
318	Carvanha	['Rough Skin', 'Speed Boost']	90	20	65	45	65	20	305	5120	35	20.8	0.8	225	Savage 	water	dark	1250000	50.0	3	N
319	Sharpedo	['Rough Skin', 'Speed Boost']	140	70	105	70	110	65	560	5120	35	88.8	1.8	60	Brutal 	water	dark	1250000	50.0	3	N
320	Wailmer	['Water Veil', 'Oblivious', 'Pressure']	70	35	60	130	70	35	400	10240	70	130.0	2.0	125	Ball Whale 	water	NULL	1640000	50.0	3	N
321	Wailord	['Water Veil', 'Oblivious', 'Pressure']	90	45	60	170	90	45	500	10240	70	398.0	14.5	60	Float Whale 	water	NULL	1640000	50.0	3	N
322	Numel	['Oblivious', 'Simple', 'Own Tempo']	60	40	35	60	65	45	305	5120	70	24.0	0.7	255	Numb 	fire	ground	1000000	50.0	3	N
323	Camerupt	['Magma Armor', 'Solid Rock', 'Anger Point']	120	100	20	70	145	105	560	5120	70	220.0	1.9	150	Eruption 	fire	ground	1000000	50.0	3	N
324	Torkoal	['White Smoke', 'Drought', 'Shell Armor']	85	140	20	70	85	70	470	5120	70	80.4	0.5	90	Coal 	fire	NULL	1000000	50.0	3	N
325	Spoink	['Thick Fat', 'Own Tempo', 'Gluttony']	25	35	60	60	70	80	330	5120	70	30.6	0.7	255	Bounce 	psychic	NULL	800000	50.0	3	N
326	Grumpig	['Thick Fat', 'Own Tempo', 'Gluttony']	45	65	80	80	90	110	470	5120	70	71.5	0.9	60	Manipulate 	psychic	NULL	800000	50.0	3	N
327	Spinda	['Own Tempo', 'Tangled Feet', 'Contrary']	60	60	60	60	60	60	360	3840	70	5.0	1.1	255	Spot Panda 	normal	NULL	800000	50.0	3	N
328	Trapinch	['Hyper Cutter', 'Arena Trap', 'Sheer Force']	100	45	10	45	45	45	290	5120	70	15.0	0.7	255	Ant Pit 	ground	NULL	1059860	50.0	3	N
329	Vibrava	['Levitate']	70	50	70	50	50	50	340	5120	70	15.3	1.1	120	Vibration 	ground	dragon	1059860	50.0	3	N
330	Flygon	['Levitate']	100	80	100	80	80	80	520	5120	70	82.0	2.0	45	Mystic 	ground	dragon	1059860	50.0	3	N
